source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
976842521375217280,111.67848159618472,49.21131032413723,11.902141476529932,-10.18477534474971,-48.76787090850114,1.0383161,4.58711,0.012279034,25.94624,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
327523283893186048,38.02595541724334,36.147325470524684,7.531918650420588,45.06572721330382,11.9011582973144,1.298521,4.587791,1.7015066,-39.46907,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3448691754658000640,83.18197230212488,32.19200837084741,0.9087346862036254,-0.8123462711415652,-3.149502839259126,1.1621615,4.5889196,0.5410819,7.2690544,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,15015.948,2.4129,-0.225,737.3503,1.4391,1.3557,0.7384
1319135746826326016,245.52376180199448,30.892472900424135,17.191982395128225,-97.37287341624736,107.31274746279013,1.0839835,4.592602,1.1218994,-29.174051,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
1004427000375584512,96.70357928377771,58.41740040354902,5.223252410701921,-6.518066055648807,-1.7143519600937056,1.9861412,4.595938,1.7611816,-4.8011136,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
589052776077097088,142.98986371986183,9.71570870634429,5.277644981675033,-8.974096168492641,-12.736879126262062,1.4211854,4.596352,1.5249426,18.421877,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
1126897477422999936,158.7725122570992,75.7129084407845,13.045349671731628,-20.21946865378113,1.4817090339524401,1.2478322,4.596746,1.0989625,16.24936,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,5064.348,2.6612,-0.0964,76.3068,0.0978,0.0784,0.0413
4462706870086557440,251.3439506550673,15.745061823317617,5.803484314648744,27.534776506766875,-49.32738208386846,1.0955021,4.59896,2.4205892,-21.030691,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
1349637195812633984,269.2022944867467,45.350708169749176,3.4584809874933873,15.614718685598708,-31.95321193966921,0.8423621,4.598965,3.2803822,,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
152375376557185152,65.08826068541218,27.35040948810144,11.446215965148674,-27.92262942586875,-77.13382721411446,1.5144532,4.5994477,1.340339,1.6191546,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3701693091058501504,185.086116816907,3.312288368336339,9.67000146218532,-293.28055773287616,-63.56837999159747,0.9686657,4.59977,1.3706253,36.633537,"NOT_AVAILABLE",0,false,false,true,false,false,false,true,,,,,,,
1893506774202354688,330.9980390630522,28.348383355951718,4.0416998167756075,13.577337911975478,-4.436735819515675,1.3208755,4.6001306,4.063836,,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
3309419984020798080,68.4626315976831,14.844319676275646,21.635396574818312,103.08256504033994,-24.426545849169408,1.823468,4.6015615,0.34702873,,"NOT_AVAILABLE",1,true,true,false,false,false,true,true,7366.9365,3.6961,-0.462,46.9708,0.0,0.0,0.0
1356590369907866496,251.8322914851383,42.23879996662785,4.227758627953926,2.088437808421023,-26.11404761237997,1.2617894,4.6038456,2.7550457,-11.280164,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
951619690275198720,102.6912781062249,41.78062052772636,9.60727918043765,-25.541657017495012,-137.25324407066287,0.9358524,4.60387,1.3875916,59.646004,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4719.729,2.2687,0.1972,118.9743,0.4251,0.3269,0.1696
4278174940241609216,275.216900828979,3.3772172029571688,13.44183342353635,-6.993760880392376,11.95216910567522,1.1977633,4.6042542,1.0718746,4.44771,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
2148205378601490688,278.1438446909768,57.045560665928,1.0200164571778358,0.0675754319350873,-7.961019795807478,0.748353,4.60434,0.79613924,-12.670417,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
